[2025-06-19T01:27:07Z] -----	 Migration started at 2025-06-19T01:27:07Z for VM alm-smartm-vm.alm.mentorg.com -----
[2025-06-19T01:27:07Z] Running in pod
[2025-06-19T01:27:10Z] Connected to vCenter: ALM-VC-01.alm.mentorg.com

[2025-06-19T01:27:11Z] Connected to OpenStack
[2025-06-19T01:27:12Z] VCenter Thumbprint: ee:da:39:bb:b1:83:79:aa:f3:b1:7c:7b:2d:51:45:a4:93:ec:b6:a6

[2025-06-19T01:27:12Z] Creating volumes in OpenStack
[2025-06-19T02:48:21Z] Copying disk 0, Completed: 17%
[2025-06-19T02:48:23Z] Copying disk 0, Completed: 17%
[2025-06-19T02:48:25Z] Copying disk 0, Completed: 17%
[2025-06-19T02:48:27Z] Copying disk 0, Completed: 17%
[2025-06-19T02:48:29Z] Copying disk 0, Completed: 18%
[2025-06-19T02:48:31Z] Copying disk 0, Completed: 18%
[2025-06-19T02:48:33Z] Copying disk 0, Completed: 18%
[2025-06-19T02:48:34Z] Copying disk 0, Completed: 18%
[2025-06-19T02:48:36Z] Copying disk 0, Completed: 18%
[2025-06-19T02:48:38Z] Copying disk 0, Completed: 18%
[2025-06-19T02:48:40Z] Copying disk 0, Completed: 18%
[2025-06-19T02:48:42Z] Copying disk 0, Completed: 18%
[2025-06-19T02:48:44Z] Copying disk 0, Completed: 18%
[2025-06-19T02:48:46Z] Copying disk 0, Completed: 18%
[2025-06-19T02:48:47Z] Copying disk 0, Completed: 18%
[2025-06-19T02:48:49Z] Copying disk 0, Completed: 18%
[2025-06-19T02:49:13Z] Copying disk 0, Completed: 18%
[2025-06-19T02:49:15Z] Copying disk 0, Completed: 18%
[2025-06-19T02:49:16Z] Copying disk 0, Completed: 18%
[2025-06-19T02:49:18Z] Copying disk 0, Completed: 18%
[2025-06-19T02:49:20Z] Copying disk 0, Completed: 18%
[2025-06-19T02:49:22Z] Copying disk 0, Completed: 18%
[2025-06-19T02:49:23Z] Copying disk 0, Completed: 18%
[2025-06-19T02:49:25Z] Copying disk 0, Completed: 18%
[2025-06-19T02:49:27Z] Copying disk 0, Completed: 18%
[2025-06-19T02:49:29Z] Copying disk 0, Completed: 18%
[2025-06-19T02:49:31Z] Copying disk 0, Completed: 18%
